Country Name,Country Code_x,Indicator Name_x,Indicator Code_x,Date,Value
Poland,POL,"Population, total",SP.POP.TOTL,1962,30308500.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1962,8993985.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1962,4238188.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1962,1603649.0
Spain,ESP,"Population, total",SP.POP.TOTL,1962,31023366.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1962,7561588.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1962,5573815.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1962,53250000.0
United States,USA,"Population, total",SP.POP.TOTL,1962,186538000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1962,21020359.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1962,77599218.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1962,8012946.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1962,4196712.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1962,601095.0
India,IND,"Population, total",SP.POP.TOTL,1962,467024193.0
Malta,MLT,"Population, total",SP.POP.TOTL,1962,323900.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1962,1497338.0
Romania,ROU,"Population, total",SP.POP.TOTL,1962,18676550.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1962,6696000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1963,10950000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1963,7175811.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1963,9289770.0
Canada,CAN,"Population, total",SP.POP.TOTL,1963,18964000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1963,8656006.0
Colombia,COL,"Population, total",SP.POP.TOTL,1963,17210956.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1963,1498647.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1963,4684483.0
Estonia,EST,"Population, total",SP.POP.TOTL,1963,1258857.0
Finland,FIN,"Population, total",SP.POP.TOTL,1963,4523309.0
France,FRA,"Population, total",SP.POP.TOTL,1963,48189939.0
Germany,DEU,"Population, total",SP.POP.TOTL,1963,74714353.0
Greece,GRC,"Population, total",SP.POP.TOTL,1963,8479625.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1963,10087947.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1963,185653.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1963,2852650.0
Italy,ITA,"Population, total",SP.POP.TOTL,1963,51252000.0
Japan,JPN,"Population, total",SP.POP.TOTL,1963,95900000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1963,2210919.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1963,2898950.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1963,324100.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1963,39982118.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1963,11965966.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1963,2531800.0
Norway,NOR,"Population, total",SP.POP.TOTL,1963,3666537.0
Poland,POL,"Population, total",SP.POP.TOTL,1963,30712000.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1963,9030355.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1963,4282017.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1963,1616971.0
Spain,ESP,"Population, total",SP.POP.TOTL,1963,31296651.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1963,7604328.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1963,5694247.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1963,53650000.0
United States,USA,"Population, total",SP.POP.TOTL,1963,189242000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1963,21364017.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1963,79915555.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1963,8078145.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1963,4225675.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1963,607072.0
India,IND,"Population, total",SP.POP.TOTL,1963,477933619.0
Malta,MLT,"Population, total",SP.POP.TOTL,1963,322550.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1963,1511854.0
Romania,ROU,"Population, total",SP.POP.TOTL,1963,18797850.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1963,6732000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1964,11167000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1964,7223801.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1964,9378113.0
Canada,CAN,"Population, total",SP.POP.TOTL,1964,19325000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1964,8825046.0
Colombia,COL,"Population, total",SP.POP.TOTL,1964,17739754.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1964,1550661.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1964,4722072.0
Estonia,EST,"Population, total",SP.POP.TOTL,1964,1277086.0
Finland,FIN,"Population, total",SP.POP.TOTL,1964,4548543.0
France,FRA,"Population, total",SP.POP.TOTL,1964,48733997.0
Germany,DEU,"Population, total",SP.POP.TOTL,1964,75318337.0
Greece,GRC,"Population, total",SP.POP.TOTL,1964,8510429.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1964,10119835.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1964,188983.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1964,2866550.0
Italy,ITA,"Population, total",SP.POP.TOTL,1964,51675350.0
Japan,JPN,"Population, total",SP.POP.TOTL,1964,96903000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1964,2240623.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1964,2935200.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1964,327750.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1964,41333878.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1964,12127120.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1964,2585400.0
Norway,NOR,"Population, total",SP.POP.TOTL,1964,3694339.0
Poland,POL,"Population, total",SP.POP.TOTL,1964,31139450.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1964,9035365.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1964,4327341.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1964,1632114.0
Spain,ESP,"Population, total",SP.POP.TOTL,1964,31609195.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1964,7661354.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1964,5789228.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1964,54000000.0
United States,USA,"Population, total",SP.POP.TOTL,1964,191889000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1964,21708487.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1964,82262794.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1964,8144340.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1964,4252876.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1964,612338.0
India,IND,"Population, total",SP.POP.TOTL,1964,489059309.0
Malta,MLT,"Population, total",SP.POP.TOTL,1964,321250.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1964,1529507.0
Romania,ROU,"Population, total",SP.POP.TOTL,1964,18919126.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1964,6765000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1965,11388000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1965,7270889.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1965,9463667.0
Canada,CAN,"Population, total",SP.POP.TOTL,1965,19678000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1965,8994936.0
Colombia,COL,"Population, total",SP.POP.TOTL,1965,18275814.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1965,1602736.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1965,4759012.0
Estonia,EST,"Population, total",SP.POP.TOTL,1965,1294566.0
Finland,FIN,"Population, total",SP.POP.TOTL,1965,4563732.0
France,FRA,"Population, total",SP.POP.TOTL,1965,49282756.0
Germany,DEU,"Population, total",SP.POP.TOTL,1965,75963695.0
Greece,GRC,"Population, total",SP.POP.TOTL,1965,8550333.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1965,10147935.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1965,192286.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1965,2877300.0
Italy,ITA,"Population, total",SP.POP.TOTL,1965,52112350.0
Japan,JPN,"Population, total",SP.POP.TOTL,1965,97952000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1965,2265919.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1965,2971450.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1965,331500.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1965,42737991.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1965,12294732.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1965,2628400.0
Norway,NOR,"Population, total",SP.POP.TOTL,1965,3723168.0
Poland,POL,"Population, total",SP.POP.TOTL,1965,31444950.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1965,8998595.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1965,4370983.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1965,1649160.0
Spain,ESP,"Population, total",SP.POP.TOTL,1965,31954292.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1965,7733853.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1965,5856472.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1965,54348050.0
United States,USA,"Population, total",SP.POP.TOTL,1965,194303000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1965,22053661.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1965,84623747.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1965,8204168.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1965,4280923.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1965,617345.0
India,IND,"Population, total",SP.POP.TOTL,1965,500114346.0
Malta,MLT,"Population, total",SP.POP.TOTL,1965,318800.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1965,1547982.0
Romania,ROU,"Population, total",SP.POP.TOTL,1965,19031576.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1965,6794000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1966,11651000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1966,7322066.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1966,9527807.0
Canada,CAN,"Population, total",SP.POP.TOTL,1966,20048000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1966,9161649.0
Colombia,COL,"Population, total",SP.POP.TOTL,1966,18811407.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1966,1654619.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1966,4797381.0
Estonia,EST,"Population, total",SP.POP.TOTL,1966,1308597.0
Finland,FIN,"Population, total",SP.POP.TOTL,1966,4580869.0
France,FRA,"Population, total",SP.POP.TOTL,1966,49817041.0
Germany,DEU,"Population, total",SP.POP.TOTL,1966,76600311.0
Greece,GRC,"Population, total",SP.POP.TOTL,1966,8613651.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1966,10178653.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1966,195570.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1966,2888800.0
Italy,ITA,"Population, total",SP.POP.TOTL,1966,52519000.0
Japan,JPN,"Population, total",SP.POP.TOTL,1966,98851000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1966,2283217.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1966,3008050.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1966,333895.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1966,44180437.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1966,12456251.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1966,2675900.0
Norway,NOR,"Population, total",SP.POP.TOTL,1966,3753012.0
Poland,POL,"Population, total",SP.POP.TOTL,1966,31681000.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1966,8930990.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1966,4411666.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1966,1669905.0
Spain,ESP,"Population, total",SP.POP.TOTL,1966,32283194.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1966,7807797.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1966,5918002.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1966,54648500.0
United States,USA,"Population, total",SP.POP.TOTL,1966,196560000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1966,22403116.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1966,86979283.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1966,8258057.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1966,4310701.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1966,622566.0
India,IND,"Population, total",SP.POP.TOTL,1966,510992617.0
Malta,MLT,"Population, total",SP.POP.TOTL,1966,315200.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1966,1567707.0
Romania,ROU,"Population, total",SP.POP.TOTL,1966,19215450.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1966,6841000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1967,11799000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1967,7376998.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1967,9580991.0
Canada,CAN,"Population, total",SP.POP.TOTL,1967,20412000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1967,9326268.0
Colombia,COL,"Population, total",SP.POP.TOTL,1967,19343961.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1967,1706062.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1967,4835354.0
Estonia,EST,"Population, total",SP.POP.TOTL,1967,1318946.0
Finland,FIN,"Population, total",SP.POP.TOTL,1967,4605744.0
France,FRA,"Population, total",SP.POP.TOTL,1967,50334012.0
Germany,DEU,"Population, total",SP.POP.TOTL,1967,76951336.0
Greece,GRC,"Population, total",SP.POP.TOTL,1967,8684088.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1967,10216604.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1967,198751.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1967,2902450.0
Italy,ITA,"Population, total",SP.POP.TOTL,1967,52900500.0
Japan,JPN,"Population, total",SP.POP.TOTL,1967,99879000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1967,2301220.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1967,3044400.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1967,334995.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1967,45656963.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1967,12598201.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1967,2724100.0
Norway,NOR,"Population, total",SP.POP.TOTL,1967,3784539.0
Poland,POL,"Population, total",SP.POP.TOTL,1967,31987155.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1967,8874520.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1967,4449367.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1967,1689528.0
Spain,ESP,"Population, total",SP.POP.TOTL,1967,32682947.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1967,7867931.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1967,5991785.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1967,54943600.0
United States,USA,"Population, total",SP.POP.TOTL,1967,198712000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1967,22757014.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1967,89323288.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1967,8310226.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1967,4338683.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1967,627695.0
India,IND,"Population, total",SP.POP.TOTL,1967,521987069.0
Malta,MLT,"Population, total",SP.POP.TOTL,1967,311550.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1967,1588649.0
Romania,ROU,"Population, total",SP.POP.TOTL,1967,19534242.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1967,6880000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1968,12009000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1968,7415403.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1968,9618756.0
Canada,CAN,"Population, total",SP.POP.TOTL,1968,20744000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1968,9491502.0
Colombia,COL,"Population, total",SP.POP.TOTL,1968,19872503.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1968,1756333.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1968,4864883.0
Estonia,EST,"Population, total",SP.POP.TOTL,1968,1331214.0
Finland,FIN,"Population, total",SP.POP.TOTL,1968,4626469.0
France,FRA,"Population, total",SP.POP.TOTL,1968,50817020.0
Germany,DEU,"Population, total",SP.POP.TOTL,1968,77294314.0
Greece,GRC,"Population, total",SP.POP.TOTL,1968,8740765.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1968,10255815.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1968,201488.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1968,2915550.0
Italy,ITA,"Population, total",SP.POP.TOTL,1968,53235750.0
Japan,JPN,"Population, total",SP.POP.TOTL,1968,101011000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1968,2323619.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1968,3078850.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1968,335850.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1968,47170337.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1968,12729721.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1968,2748100.0
Norway,NOR,"Population, total",SP.POP.TOTL,1968,3816486.0
Poland,POL,"Population, total",SP.POP.TOTL,1968,32294655.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1968,8836650.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1968,4483915.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1968,1704546.0
Spain,ESP,"Population, total",SP.POP.TOTL,1968,33113134.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1968,7912273.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1968,6067714.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1968,55211700.0
United States,USA,"Population, total",SP.POP.TOTL,1968,200706000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1968,23112971.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1968,91659246.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1968,8369603.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1968,4365628.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1968,632452.0
India,IND,"Population, total",SP.POP.TOTL,1968,533431909.0
Malta,MLT,"Population, total",SP.POP.TOTL,1968,307900.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1968,1610537.0
Romania,ROU,"Population, total",SP.POP.TOTL,1968,19799831.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1968,6915000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1969,12263000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1969,7441055.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1969,9646032.0
Canada,CAN,"Population, total",SP.POP.TOTL,1969,21028000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1969,9656299.0
