Country,Country Code,Year,Population
Korea,KOR,2014,50746659.0
Latvia,LVA,2014,1993782.0
Lithuania,LTU,2014,2932367.0
Luxembourg,LUX,2014,556319.0
Mexico,MEX,2014,118755887.0
Netherlands,NLD,2014,16865008.0
New Zealand,NZL,2014,4516500.0
Norway,NOR,2014,5137232.0
Poland,POL,2014,38011735.0
Portugal,PRT,2014,10401062.0
Slovak Republic,SVK,2014,5418649.0
Slovenia,SVN,2014,2061980.0
Spain,ESP,2014,46480882.0
Sweden,SWE,2014,9696110.0
Switzerland,CHE,2014,8188649.0
Republic of Turkiye,TUR,2014,78112073.0
United Kingdom,GBR,2014,64602298.0
United States,USA,2014,318386329.0
Argentina,ARG,2014,42669500.0
Brazil,BRA,2014,203459650.0
Bulgaria,BGR,2014,7223938.0
People's Republic of China,CHN,2014,1371860000.0
Croatia,HRV,2014,4238389.0
Cyprus,CYP,2014,1176995.0
India,IND,2014,1307246509.0
Malta,MLT,2014,434558.0
North Macedonia,MKD,2014,2067471.0
Romania,ROU,2014,19908979.0
Serbia,SRB,2014,7130576.0
Australia,AUS,2015,23815995.0
Austria,AUT,2015,8642699.0
Belgium,BEL,2015,11274196.0
Canada,CAN,2015,35702908.0
Chile,CHL,2015,17870124.0
Colombia,COL,2015,47119728.0
Costa Rica,CRI,2015,4895242.0
Czech Republic,CZE,2015,10546059.0
Denmark,DNK,2015,5683483.0
Estonia,EST,2015,1315407.0
Finland,FIN,2015,5479531.0
France,FRA,2015,66548272.0
Germany,DEU,2015,81686611.0
Greece,GRC,2015,10820883.0
Hungary,HUN,2015,9843028.0
Iceland,ISL,2015,330815.0
Ireland,IRL,2015,4701957.0
Italy,ITA,2015,60730582.0
Japan,JPN,2015,127141000.0
Korea,KOR,2015,51014947.0
Latvia,LVA,2015,1977527.0
Lithuania,LTU,2015,2904910.0
Luxembourg,LUX,2015,569604.0
Mexico,MEX,2015,120149897.0
Netherlands,NLD,2015,16939923.0
New Zealand,NZL,2015,4609400.0
Norway,NOR,2015,5188607.0
Poland,POL,2015,37986412.0
Portugal,PRT,2015,10358076.0
Slovak Republic,SVK,2015,5423801.0
Slovenia,SVN,2015,2063531.0
Spain,ESP,2015,46444832.0
Sweden,SWE,2015,9799186.0
Switzerland,CHE,2015,8282396.0
Republic of Turkiye,TUR,2015,79646178.0
United Kingdom,GBR,2015,65116219.0
United States,USA,2015,320738994.0
Argentina,ARG,2015,43131966.0
Brazil,BRA,2015,205188205.0
Bulgaria,BGR,2015,7177991.0
People's Republic of China,CHN,2015,1379860000.0
Croatia,HRV,2015,4203604.0
Cyprus,CYP,2015,1187280.0
India,IND,2015,1322866505.0
Malta,MLT,2015,445053.0
North Macedonia,MKD,2015,2070226.0
Romania,ROU,2015,19815616.0
Serbia,SRB,2015,7095383.0
Australia,AUS,2016,24190907.0
Austria,AUT,2016,8736668.0
Belgium,BEL,2016,11331422.0
Canada,CAN,2016,36109487.0
Chile,CHL,2016,18083879.0
Colombia,COL,2016,47625955.0
Costa Rica,CRI,2016,4945205.0
Czech Republic,CZE,2016,10566332.0
Denmark,DNK,2016,5728010.0
Estonia,EST,2016,1315790.0
Finland,FIN,2016,5495303.0
France,FRA,2016,66724104.0
Germany,DEU,2016,82348669.0
Greece,GRC,2016,10775971.0
Hungary,HUN,2016,9814023.0
Iceland,ISL,2016,335439.0
Ireland,IRL,2016,4755335.0
Italy,ITA,2016,60627498.0
Japan,JPN,2016,127076000.0
Korea,KOR,2016,51217803.0
Latvia,LVA,2016,1959537.0
Lithuania,LTU,2016,2868231.0
Luxembourg,LUX,2016,582014.0
Mexico,MEX,2016,121519221.0
Netherlands,NLD,2016,17030314.0
New Zealand,NZL,2016,4714100.0
Norway,NOR,2016,5234519.0
Poland,POL,2016,37970087.0
Portugal,PRT,2016,10325452.0
Slovak Republic,SVK,2016,5430798.0
Slovenia,SVN,2016,2065042.0
Spain,ESP,2016,46484062.0
Sweden,SWE,2016,9923085.0
Switzerland,CHE,2016,8373338.0
Republic of Turkiye,TUR,2016,81019394.0
United Kingdom,GBR,2016,65611593.0
United States,USA,2016,323071755.0
Argentina,ARG,2016,43590368.0
Brazil,BRA,2016,206859578.0
Bulgaria,BGR,2016,7127822.0
People's Republic of China,CHN,2016,1387790000.0
Croatia,HRV,2016,4174349.0
Cyprus,CYP,2016,1197881.0
India,IND,2016,1338636340.0
Malta,MLT,2016,455356.0
North Macedonia,MKD,2016,2072490.0
Romania,ROU,2016,19702267.0
Serbia,SRB,2016,7058322.0
Australia,AUS,2017,24594202.0
Austria,AUT,2017,8797566.0
Belgium,BEL,2017,11375158.0
Canada,CAN,2017,36545236.0
Chile,CHL,2017,18368577.0
Colombia,COL,2017,48351671.0
Costa Rica,CRI,2017,4993842.0
Czech Republic,CZE,2017,10594438.0
Denmark,DNK,2017,5764980.0
Estonia,EST,2017,1317384.0
Finland,FIN,2017,5508214.0
France,FRA,2017,66918020.0
Germany,DEU,2017,82657002.0
Greece,GRC,2017,10754679.0
Hungary,HUN,2017,9787966.0
Iceland,ISL,2017,343400.0
Ireland,IRL,2017,4807388.0
Italy,ITA,2017,60536709.0
Japan,JPN,2017,126972000.0
Korea,KOR,2017,51361911.0
Latvia,LVA,2017,1942248.0
Lithuania,LTU,2017,2828403.0
Luxembourg,LUX,2017,596336.0
Mexico,MEX,2017,122839258.0
Netherlands,NLD,2017,17131296.0
New Zealand,NZL,2017,4813600.0
Norway,NOR,2017,5276968.0
Poland,POL,2017,37974826.0
Portugal,PRT,2017,10300300.0
Slovak Republic,SVK,2017,5439232.0
Slovenia,SVN,2017,2066388.0
Spain,ESP,2017,46593236.0
Sweden,SWE,2017,10057698.0
Switzerland,CHE,2017,8451840.0
Republic of Turkiye,TUR,2017,82089826.0
United Kingdom,GBR,2017,66058859.0
United States,USA,2017,325122128.0
Argentina,ARG,2017,44044811.0
Brazil,BRA,2017,208504960.0
Bulgaria,BGR,2017,7075947.0
People's Republic of China,CHN,2017,1396215000.0
Croatia,HRV,2017,4124531.0
Cyprus,CYP,2017,1208523.0
India,IND,2017,1354195680.0
Malta,MLT,2017,467999.0
North Macedonia,MKD,2017,2074502.0
Romania,ROU,2017,19588715.0
Serbia,SRB,2017,7020858.0
Australia,AUS,2018,24966643.0
Austria,AUT,2018,8840521.0
Belgium,BEL,2018,11427054.0
Canada,CAN,2018,37065084.0
Chile,CHL,2018,18701450.0
Colombia,COL,2018,49276961.0
Costa Rica,CRI,2018,5040734.0
Czech Republic,CZE,2018,10629928.0
Denmark,DNK,2018,5793636.0
Estonia,EST,2018,1321977.0
Finland,FIN,2018,5515525.0
France,FRA,2018,67158348.0
Germany,DEU,2018,82905782.0
Greece,GRC,2018,10732882.0
Hungary,HUN,2018,9775564.0
Iceland,ISL,2018,352721.0
Ireland,IRL,2018,4867316.0
Italy,ITA,2018,60421760.0
Japan,JPN,2018,126811000.0
Korea,KOR,2018,51585058.0
Latvia,LVA,2018,1927174.0
Lithuania,LTU,2018,2801543.0
Luxembourg,LUX,2018,607950.0
Mexico,MEX,2018,124013861.0
Netherlands,NLD,2018,17231624.0
New Zealand,NZL,2018,4900600.0
Norway,NOR,2018,5311916.0
Poland,POL,2018,37974750.0
Portugal,PRT,2018,10283822.0
Slovak Republic,SVK,2018,5446771.0
Slovenia,SVN,2018,2073894.0
Spain,ESP,2018,46797754.0
Sweden,SWE,2018,10175214.0
Switzerland,CHE,2018,8514329.0
Republic of Turkiye,TUR,2018,82809304.0
United Kingdom,GBR,2018,66460344.0
United States,USA,2018,326838199.0
Argentina,ARG,2018,44494502.0
Brazil,BRA,2018,210166592.0
Bulgaria,BGR,2018,7025037.0
People's Republic of China,CHN,2018,1402760000.0
Croatia,HRV,2018,4087843.0
Cyprus,CYP,2018,1218831.0
India,IND,2018,1369003306.0
Malta,MLT,2018,484630.0
North Macedonia,MKD,2018,2076217.0
Romania,ROU,2018,19473970.0
Serbia,SRB,2018,6982604.0
Australia,AUS,2019,25340217.0
Austria,AUT,2019,8879920.0
Belgium,BEL,2019,11488980.0
Canada,CAN,2019,37601230.0
Chile,CHL,2019,19039485.0
Colombia,COL,2019,50187406.0
Costa Rica,CRI,2019,5084532.0
Czech Republic,CZE,2019,10671870.0
Denmark,DNK,2019,5814422.0
Estonia,EST,2019,1326898.0
Finland,FIN,2019,5521606.0
France,FRA,2019,67388001.0
Germany,DEU,2019,83092962.0
Greece,GRC,2019,10721582.0
Hungary,HUN,2019,9771141.0
Iceland,ISL,2019,360563.0
Ireland,IRL,2019,4934340.0
Italy,ITA,2019,59729081.0
Japan,JPN,2019,126633000.0
Korea,KOR,2019,51764822.0
Latvia,LVA,2019,1913822.0
Lithuania,LTU,2019,2794137.0
Luxembourg,LUX,2019,620001.0
Mexico,MEX,2019,125085311.0
Netherlands,NLD,2019,17344874.0
New Zealand,NZL,2019,4979200.0
Norway,NOR,2019,5347896.0
Poland,POL,2019,37965475.0
Portugal,PRT,2019,10286263.0
Slovak Republic,SVK,2019,5454147.0
Slovenia,SVN,2019,2088385.0
Spain,ESP,2019,47134837.0
Sweden,SWE,2019,10278887.0
Switzerland,CHE,2019,8575280.0
Republic of Turkiye,TUR,2019,83481684.0
United Kingdom,GBR,2019,66836327.0
United States,USA,2019,328329953.0
Argentina,ARG,2019,44938712.0
Brazil,BRA,2019,211782878.0
Bulgaria,BGR,2019,6975761.0
People's Republic of China,CHN,2019,1407745000.0
Croatia,HRV,2019,4065253.0
Cyprus,CYP,2019,1228836.0
India,IND,2019,1383112050.0
Malta,MLT,2019,504062.0
North Macedonia,MKD,2019,2076694.0
Romania,ROU,2019,19371648.0
Serbia,SRB,2019,6945235.0
Australia,AUS,2020,25655289.0
Austria,AUT,2020,8916864.0
Belgium,BEL,2020,11538604.0
Canada,CAN,2020,38037204.0
Chile,CHL,2020,19300315.0
Colombia,COL,2020,50930662.0
Costa Rica,CRI,2020,5123105.0
Czech Republic,CZE,2020,10697858.0
Denmark,DNK,2020,5831404.0
Estonia,EST,2020,1329522.0
Finland,FIN,2020,5529543.0
France,FRA,2020,67571107.0
Germany,DEU,2020,83160871.0
Greece,GRC,2020,10698599.0
Hungary,HUN,2020,9750149.0
Iceland,ISL,2020,366463.0
Ireland,IRL,2020,4985382.0
Italy,ITA,2020,59438851.0
Japan,JPN,2020,126261000.0
Korea,KOR,2020,51836239.0
Latvia,LVA,2020,1900449.0
Lithuania,LTU,2020,2794885.0
Luxembourg,LUX,2020,630419.0
Mexico,MEX,2020,125998302.0
Netherlands,NLD,2020,17441500.0
New Zealand,NZL,2020,5090200.0
Norway,NOR,2020,5379475.0
Poland,POL,2020,37899070.0
Portugal,PRT,2020,10297081.0
Slovak Republic,SVK,2020,5458827.0
Slovenia,SVN,2020,2102419.0
Spain,ESP,2020,47365655.0
Sweden,SWE,2020,10353442.0
Switzerland,CHE,2020,8638167.0
Republic of Turkiye,TUR,2020,84135428.0
United Kingdom,GBR,2020,67081000.0
United States,USA,2020,331501080.0
Argentina,ARG,2020,45376763.0
Brazil,BRA,2020,213196304.0
Bulgaria,BGR,2020,6934015.0
People's Republic of China,CHN,2020,1411100000.0
Croatia,HRV,2020,4047680.0
Cyprus,CYP,2020,1237537.0
India,IND,2020,1396387127.0
Malta,MLT,2020,515332.0
North Macedonia,MKD,2020,2072531.0
Romania,ROU,2020,19265250.0
Serbia,SRB,2020,6899126.0
Australia,AUS,2021,25688079.0
Austria,AUT,2021,8955797.0
Belgium,BEL,2021,11592952.0
Canada,CAN,2021,38246108.0
Chile,CHL,2021,19493184.0
Colombia,COL,2021,51516562.0
Costa Rica,CRI,2021,5153957.0
Czech Republic,CZE,2021,10505772.0
Denmark,DNK,2021,5856733.0
Estonia,EST,2021,1330932.0
Finland,FIN,2021,5541017.0
France,FRA,2021,67749632.0
Germany,DEU,2021,83196078.0
Greece,GRC,2021,10641221.0
Hungary,HUN,2021,9709891.0
Iceland,ISL,2021,372520.0
Ireland,IRL,2021,5033165.0
Italy,ITA,2021,59109668.0
Japan,JPN,2021,125681593.0
Korea,KOR,2021,51744876.0
Latvia,LVA,2021,1884490.0
Lithuania,LTU,2021,2800839.0
Luxembourg,LUX,2021,640064.0
Mexico,MEX,2021,126705138.0
Netherlands,NLD,2021,17533044.0
New Zealand,NZL,2021,5122600.0
Norway,NOR,2021,5408320.0
Poland,POL,2021,37747124.0
Portugal,PRT,2021,10325147.0
Slovak Republic,SVK,2021,5447247.0
Slovenia,SVN,2021,2108079.0
Spain,ESP,2021,47415750.0
Sweden,SWE,2021,10415811.0
Switzerland,CHE,2021,8703405.0
Republic of Turkiye,TUR,2021,84775404.0
United Kingdom,GBR,2021,67326569.0
United States,USA,2021,331893745.0
Argentina,ARG,2021,45808747.0
Brazil,BRA,2021,214326223.0
Bulgaria,BGR,2021,6877743.0
People's Republic of China,CHN,2021,1412360000.0
Croatia,HRV,2021,3899000.0
Cyprus,CYP,2021,1244188.0
India,IND,2021,1407563842.0
Malta,MLT,2021,518536.0
North Macedonia,MKD,2021,2065092.0
Romania,ROU,2021,19119880.0
Serbia,SRB,2021,6834326.0
